success,Organization Name,Acquisition Status,IPO Status,Founded Date,Founded Date Precision,Last Funding Date,Number of Articles,Number of Founders,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Global Traffic Rank,SEMrush - Bounce Rate Growth,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,G2 Stack - Total Products Active,Money Raised Currency (in USD),Announced Date,Number of Investors,Seed Lag
0,Explara,,Private,2008-01-01,year,2016-08-01,26,2.0,"453,833","137,872.17",104.20%,729,309.55%,1.72,-37.17%,67.47%,"130,975",56.14%,"-88,316",-40.27%,31.0,120.0,26.0,500000.0,2016-08-01,1.0,3135
0,TradeBriefs,,Private,2008-01-01,year,2012-07-31,17,1.0,"21,903","33,318.50",-33.95%,75,-76.78%,1.31,8.89%,81.84%,"1,212,227",-3.62%,"275,164",29.36%,60.0,0.0,15.0,500000.0,2012-07-31,1.0,1673
1,Urban Company,Made Acquisitions,Private,2014-11-10,day,2021-06-02,287,3.0,"2,744,259","3,007,278",6.37%,398,-32.88%,1.52,13.91%,68.42%,"32,518",-8.49%,-414,-1.26%,31.0,6.0,54.0,1600000.0,2015-04-16,5.0,157
0,Porter,,Private,2014-08-01,month,2021-10-25,131,3.0,"4,602,443","3,895,185.50",53.52%,808,16.76%,1.39,-6.69%,72.30%,"21,055",2.42%,"-8,046",-27.65%,77.0,6.0,24.0,500000.0,2015-04-13,1.0,255
0,Prozo,,Private,2014-07-10,day,2023-02-14,5,1.0,"12,967","10,563",320.60%,36,-89.32%,1.02,-59.97%,98.28%,"1,647,032",144.97%,"-1,658,142",-50.17%,49.0,7.0,14.0,504737.0,2017-06-01,1.0,1057
0,RentoMojo,,Private,2014-12-01,month,2021-11-25,29,3.0,"220,261","624,394.17",-51.40%,396,-65.92%,2.32,34.65%,41.04%,"224,973",-37.63%,"96,291",74.83%,74.0,3.0,60.0,500000.0,2015-07-07,1.0,218
0,AjnaLens,,Private,2014-11-12,day,2022-02-28,10,3.0,447,"3,396.67",-55.17%,0,10140%,1.0,0%,100%,"6,499,537",0%,"1,468,109",29.18%,27.0,0.0,19.0,440000.0,2016-03-01,2.0,475
0,GetSetHome,,Private,2014-03-01,month,2023-11-08,2,3.0,"5,742","46,763.17",88.02%,"1,011",1248%,2.76,14.29%,29.66%,"2,537,631",16.27%,"-775,240",-23.40%,65.0,1.0,13.0,166061.0,2014-03-26,1.0,25
1,GUVI,Was Acquired,Private,2014-07-02,day,2022-09-27,8,3.0,"2,744,719","1,462,578.33",290.68%,437,5.05%,6.54,159.25%,40.73%,"32,514",-36.85%,"-59,936",-64.83%,42.0,2.0,31.0,142511.0,2019-04-25,1.0,1758
1,PlaySimple Games,Was Acquired,Private,2014-11-01,month,2016-11-15,5,4.0,"222,741","140,999.33",56.40%,339,993.55%,1.02,-0.41%,98.98%,"223,053",1.64%,"-84,478",-27.47%,25.0,24.0,14.0,500000.0,2014-11-23,2.0,22
1,Jugnoo,Made Acquisitions,Private,2014-11-01,month,2016-04-18,84,2.0,"2,006","3,944.67",-8.65%,0,391.67%,1.0,-49.51%,100%,"4,004,052",263.64%,"234,981",6.23%,57.0,26.0,29.0,1000000.0,2015-04-20,3.0,170
1,Aisle,Was Acquired,Private,2014-07-14,day,2021-02-15,21,1.0,"33,637","12,764.17",562.67%,90,1700%,3.39,226.51%,15.34%,"931,227",-84.07%,"-1,771,989",-65.55%,54.0,0.0,23.0,500000.0,2017-02-15,6.0,947
1,Care24,Was Acquired,Private,2014-12-01,day,2016-01-13,3,2.0,"3,427","10,109.50",-88.28%,11,-94.69%,1.22,21.65%,78.35%,"3,173,337",-21.65%,"2,142,592",207.87%,40.0,6.0,30.0,350000.0,2015-10-27,2.0,330
0,Nuvepro,,Private,2014-11-01,day,2020-04-15,6,2.0,"4,036","10,088.67",-24.42%,500,-19.35%,3.73,7.97%,23.79%,"3,011,554",1.80%,"347,273",13.03%,32.0,0.0,18.0,400000.0,2017-11-21,1.0,1116
0,Docplexus,,Private,2014-01-22,day,2015-10-06,5,1.0,"25,459","37,188.17",-39.56%,16,2000%,1.01,1.08%,98.92%,"1,117,004",-1.08%,"353,003",46.20%,9.0,5.0,19.0,700000.0,2015-10-06,2.0,622
0,HousingMan.com,,Private,2014-03-01,month,2018-07-21,1,2.0,"28,189","11,094",595%,50,-61.56%,2.81,180.98%,9.51%,"1,050,848",-90.49%,"-1,888,234",-64.25%,26.0,3.0,25.0,1498247.0,2018-07-21,1.0,1603
0,Atatus,,Private,2014-03-18,day,2014-07-25,2,1.0,"267,924","358,171.83",2.76%,"1,756",134.45%,1.61,10.66%,85.62%,"194,056",-0.29%,-422,-0.22%,57.0,0.0,28.0,70000.0,2014-07-25,1.0,129
0,10times,,Private,2014-01-26,day,2014-04-01,33,3.0,"1,708,604","1,448,882.67",-1.27%,426,-19.77%,1.85,-23.17%,72.88%,"47,559",2.71%,"1,826",3.99%,98.0,3.0,43.0,500000.0,2014-04-01,1.0,65
1,Spayee,Was Acquired,Private,2014-02-20,day,2014-07-01,2,2.0,"248,118","267,970.33",49.28%,199,-28.42%,1.9,-22.84%,50.95%,"205,674",0.97%,"-67,691",-24.76%,47.0,1.0,22.0,20000.0,2014-07-01,1.0,131
0,NewsPatrolling,,Private,2014-02-14,day,2016-10-14,0,1.0,"74,479","34,257.67",1217.51%,124,-93.95%,1.06,-11.86%,95.77%,"512,337",20.71%,"-2,090,209",-80.31%,26.0,1.0,0.0,25000.0,2016-10-14,1.0,973
1,Syntizen,Was Acquired,Private,2014-03-09,day,2019-09-17,14,3.0,"38,631","16,647.17",43.73%,0,-93.87%,1.0,-0.03%,100%,"835,912",0.01%,"-237,649",-22.14%,50.0,15.0,20.0,500000.0,2019-09-17,1.0,2018
0,TruckSuvidha,,Private,2014-09-01,day,2019-11-09,59,2.0,"15,459","6,106.67",1646.78%,904,154.55%,1.05,4.80%,95.20%,"1,486,037",-4.80%,"-3,902,517",-72.42%,53.0,64.0,20.0,500000.0,2019-11-09,1.0,1895
0,EngineerBabu,,Private,2014-06-08,day,2016-08-25,3,2.0,"3,222","4,669.33",108.41%,"1,630",1247.11%,1.65,-14.29%,69.15%,"3,255,674",68.08%,"-1,109,930",-25.42%,20.0,27.0,25.0,500000.0,2016-08-25,2.0,809
1,Cogoport,Made Acquisitions,Private,2016-05-03,day,2022-04-06,12,6.0,"99,508","67,251.17",125.52%,568,3.84%,1.5,-56.58%,79.03%,"410,364",87.36%,"-325,086",-44.20%,61.0,0.0,27.0,500000.0,2016-11-29,1.0,210
0,Fyle,,Private,2016-02-16,day,2019-10-03,27,2.0,"49,138","55,477.17",10.92%,479,62.93%,1.8,-0.36%,61.71%,"696,317",16.63%,"-37,038",-5.05%,69.0,1.0,25.0,1100000.0,2018-04-20,3.0,794
0,Skit,,Private,2016-10-04,day,2021-09-01,21,2.0,"4,572","9,412.50",18.17%,27,3.85%,1.25,-24.09%,79.48%,"2,828,465",53.76%,"-191,484",-6.34%,57.0,0.0,18.0,500000.0,2019-01-15,1.0,833
0,Rooter,,Private,2016-05-20,day,2023-07-04,28,3.0,"1,642,836","2,112,311.67",2.30%,719,-23.59%,1.39,-1.03%,71.97%,"48,981",-9.06%,371,0.76%,22.0,2.0,17.0,500000.0,2019-08-30,1.0,1197
0,Gramophone,,Private,2016-05-01,month,2023-01-24,3,4.0,"25,508","12,022.83",0.04%,0,-43%,1.0,-9.75%,100%,"1,115,045",6.28%,"12,826",1.16%,49.0,2.0,12.0,1000000.0,2018-03-04,1.0,672
0,PlanetSpark,,Private,2016-08-01,month,2021-12-07,12,2.0,"4,092,018","1,714,487.33",142.26%,812,-5.03%,2.0,-9.08%,53.46%,"23,304",-12.32%,"-23,370",-50.07%,85.0,3.0,15.0,220631.0,2018-12-10,1.0,861
0,AdmitKard,,Private,2016-11-15,day,2023-02-20,7,2.0,"168,274","233,188.33",-55.72%,393,-44.18%,1.07,-13.39%,95.40%,"275,305",20.84%,"128,511",87.55%,87.0,4.0,39.0,1000000.0,2019-08-20,1.0,1008
0,AgNext Technologies,,Private,2016-09-15,day,2022-12-20,5,1.0,"4,974","3,491.17",163.73%,33,-72.73%,1.75,38.35%,70.16%,"2,741,628",-4.95%,"-1,362,982",-33.21%,7.0,13.0,11.0,2100000.0,2018-04-16,2.0,578
0,Verloop.io,,Private,2016-10-01,day,2020-08-25,13,1.0,"348,589","301,687.17",34.36%,"1,097",560.84%,1.11,-28.99%,90.70%,"159,403",30.82%,"-35,775",-18.33%,73.0,2.0,30.0,500000.0,2016-11-01,6.0,31
0,Crofarm,,Private,2016-05-14,day,2021-12-13,8,2.0,"2,055","2,287.17",64.93%,0,-2.41%,1.0,0%,100%,"3,985,504",0%,"-750,985",-15.86%,19.0,8.0,8.0,500000.0,2019-01-14,6.0,975
0,Healofy,,Private,2016-08-01,day,2021-10-26,11,2.0,"84,421","144,054.83",-56.85%,72,-43.75%,1.08,-68.60%,96.38%,"461,848",121.21%,"220,486",91.35%,23.0,1.0,26.0,1000000.0,2018-03-14,2.0,590
0,CureSkin,,Private,2016-10-01,month,2022-03-07,6,2.0,"319,846","205,995",167.81%,282,3928.57%,1.05,4.09%,94.78%,"170,041",-4.49%,"-179,832",-51.40%,86.0,3.0,0.0,500000.0,2017-08-01,4.0,304
0,Trendlyne Technologies,,Private,2016-08-12,day,2022-02-02,2,3.0,"2,723,212","3,502,294.50",-8.04%,707,-16.33%,2.9,-0.73%,52.36%,"32,724",-13.68%,"3,348",11.40%,61.0,2.0,27.0,200000.0,2018-01-03,1.0,509
0,myUpchar,,Private,2016-11-15,day,2018-08-28,2,2.0,"10,641,507","7,920,664.17",60.73%,386,-43.15%,1.47,-0.94%,77.58%,"10,279",3.44%,"-4,478",-30.34%,56.0,3.0,19.0,305180.0,2017-09-27,3.0,316
0,StockEdge,,Private,2016-05-06,day,2021-07-12,9,3.0,"2,151,635","2,089,842.50",46.05%,331,-14.03%,2.06,-26.96%,59.61%,"39,585",37.51%,"-12,485",-23.98%,77.0,0.0,22.0,500000.0,2018-07-24,3.0,809
